,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
xor5_254.qasm,benchmarking/ibmq/xor5_254.qasm,39,7,13,11,11,11,0.008161
4_49_16.qasm,benchmarking/ibmq/4_49_16.qasm,249,127,307,246,213,200,0.256405
sys6-v0_111.qasm,benchmarking/ibmq/sys6-v0_111.qasm,247,77,333,165,239,140,0.269138
urf5_280.qasm,benchmarking/ibmq/urf5_280.qasm,49861,27824,77762,57555,57029,48094,81.944086
square_root_7.qasm,benchmarking/ibmq/square_root_7.qasm,7662,3849,10871,7900,8156,6481,15.391212
cycle10_2_110.qasm,benchmarking/ibmq/cycle10_2_110.qasm,6082,3388,9275,6986,6624,5778,10.821912
rd84_253.qasm,benchmarking/ibmq/rd84_253.qasm,13690,7263,21165,15182,15205,12780,22.859431
ham15_107.qasm,benchmarking/ibmq/ham15_107.qasm,8795,4821,13283,9789,9457,8060,15.627422
inc_237.qasm,benchmarking/ibmq/inc_237.qasm,10651,5865,16289,11981,11645,10119,18.120445
rd53_130.qasm,benchmarking/ibmq/rd53_130.qasm,1075,571,1465,1098,1015,906,1.205401
alu-v2_31.qasm,benchmarking/ibmq/alu-v2_31.qasm,483,257,640,495,441,410,0.422638
4gt5_77.qasm,benchmarking/ibmq/4gt5_77.qasm,163,76,184,142,126,117,0.139759
sym9_148.qasm,benchmarking/ibmq/sym9_148.qasm,21536,12089,33583,25273,24173,21546,33.490157
radd_250.qasm,benchmarking/ibmq/radd_250.qasm,3245,1783,4984,3632,3577,3061,5.995918
mod10_176.qasm,benchmarking/ibmq/mod10_176.qasm,210,103,251,199,171,162,0.170302
C17_204.qasm,benchmarking/ibmq/C17_204.qasm,499,255,669,505,464,422,0.523402
0410184_169.qasm,benchmarking/ibmq/0410184_169.qasm,243,106,337,211,246,176,0.323677
con1_216.qasm,benchmarking/ibmq/con1_216.qasm,986,510,1369,985,953,819,1.333349
rd53_311.qasm,benchmarking/ibmq/rd53_311.qasm,307,126,426,273,302,228,0.45845
4gt13_91.qasm,benchmarking/ibmq/4gt13_91.qasm,135,63,147,122,103,100,0.094265
one-two-three-v0_98.qasm,benchmarking/ibmq/one-two-three-v0_98.qasm,178,84,214,173,149,143,0.146753
4gt13_90.qasm,benchmarking/ibmq/4gt13_90.qasm,139,67,157,131,113,109,0.107793
dc2_222.qasm,benchmarking/ibmq/dc2_222.qasm,9494,5244,14677,10642,10544,8986,17.383572
ex3_229.qasm,benchmarking/ibmq/ex3_229.qasm,435,228,580,462,403,379,0.433686
ham3_102.qasm,benchmarking/ibmq/ham3_102.qasm,52,15,26,22,18,18,0.014309
adr4_197.qasm,benchmarking/ibmq/adr4_197.qasm,3471,1841,5270,3722,3766,3137,6.295683
one-two-three-v1_99.qasm,benchmarking/ibmq/one-two-three-v1_99.qasm,164,78,201,163,143,136,0.137872
mini-alu_167.qasm,benchmarking/ibmq/mini-alu_167.qasm,320,164,406,322,278,264,0.277116
alu-v2_30.qasm,benchmarking/ibmq/alu-v2_30.qasm,536,287,751,573,530,479,0.564107
4gt5_76.qasm,benchmarking/ibmq/4gt5_76.qasm,123,58,137,113,100,97,0.081276
rd53_131.qasm,benchmarking/ibmq/rd53_131.qasm,501,263,653,483,453,404,0.537719
urf1_149.qasm,benchmarking/ibmq/urf1_149.qasm,184896,99587,273463,198513,192580,165640,309.154821
mini_alu_305.qasm,benchmarking/ibmq/mini_alu_305.qasm,205,71,267,159,191,137,0.292005
4mod7-v0_94.qasm,benchmarking/ibmq/4mod7-v0_94.qasm,194,94,232,183,159,153,0.165289
z4_268.qasm,benchmarking/ibmq/z4_268.qasm,3105,1646,4602,3377,3261,2794,5.057942
cm82a_208.qasm,benchmarking/ibmq/cm82a_208.qasm,682,339,964,687,679,579,0.831412
sao2_257.qasm,benchmarking/ibmq/sao2_257.qasm,38609,19565,60217,41808,43350,34694,78.200423
aj-e11_165.qasm,benchmarking/ibmq/aj-e11_165.qasm,183,88,221,172,153,142,0.169816
misex1_241.qasm,benchmarking/ibmq/misex1_241.qasm,4845,2678,7177,5194,5071,4374,7.795224
alu-v0_26.qasm,benchmarking/ibmq/alu-v0_26.qasm,116,51,129,100,93,85,0.071726
sym6_316.qasm,benchmarking/ibmq/sym6_316.qasm,302,137,432,295,312,243,0.460892
decod24-bdd_294.qasm,benchmarking/ibmq/decod24-bdd_294.qasm,105,42,106,86,71,70,0.068809
miller_11.qasm,benchmarking/ibmq/miller_11.qasm,82,31,72,60,50,50,0.043148
sqn_258.qasm,benchmarking/ibmq/sqn_258.qasm,10255,5460,15065,10589,10604,8843,16.522946
rd32-v1_68.qasm,benchmarking/ibmq/rd32-v1_68.qasm,68,23,39,31,24,24,0.027499
