,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670,2031,1588,1503,1366,1.511505
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15,39,32,31,28,0.022833
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129,528,328,386,278,0.425942
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696,66225,48821,49601,41753,64.602572
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68,159,129,109,105,0.102151
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574,111892,85613,83806,73179,107.991752
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248,224154,174805,167831,147268,242.817491
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50,131,107,93,87,0.103647
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616,43181,29681,37985,27295,211.743072
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22,56,44,48,40,0.039513
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49,132,108,95,90,0.082353
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7,5,5,5,5,0.008953
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24,58,47,41,39,0.0365
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94,233,184,159,152,0.159366
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18,37,33,29,29,0.022823
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719,115486,90129,85128,75239,110.436424
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107,432,121,333,103,1.040289
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144,333573,261770,251713,221661,366.510821
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32,74,61,49,49,0.052554
