,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
urf2_152.qasm,benchmarking/ibmq/urf2_152.qasm,80512,44102,98761,70161,63546,57170,100.934092
rd53_135.qasm,benchmarking/ibmq/rd53_135.qasm,328,161,330,212,200,173,0.217647
rd32_270.qasm,benchmarking/ibmq/rd32_270.qasm,116,49,92,66,54,54,0.075268
cm152a_212.qasm,benchmarking/ibmq/cm152a_212.qasm,1253,686,1632,1179,1098,964,1.646722
4gt10-v1_81.qasm,benchmarking/ibmq/4gt10-v1_81.qasm,180,86,200,154,135,129,0.155298
qft_10.qasm,benchmarking/ibmq/qft_10.qasm,232,65,75,36,50,26,0.307423
rd32-v0_66.qasm,benchmarking/ibmq/rd32-v0_66.qasm,66,22,39,30,24,24,0.022831
rd53_251.qasm,benchmarking/ibmq/rd53_251.qasm,1323,714,1548,1132,982,903,1.472125
alu-v3_35.qasm,benchmarking/ibmq/alu-v3_35.qasm,69,24,40,25,24,20,0.031728
squar5_261.qasm,benchmarking/ibmq/squar5_261.qasm,2025,1051,2492,1671,1617,1373,2.779053
4gt4-v0_78.qasm,benchmarking/ibmq/4gt4-v0_78.qasm,267,139,254,161,155,129,0.207667
urf2_277.qasm,benchmarking/ibmq/urf2_277.qasm,20144,11392,27455,19874,19326,16596,27.746809
urf3_155.qasm,benchmarking/ibmq/urf3_155.qasm,423520,229367,524862,366290,339580,298916,643.477791
4gt13-v1_93.qasm,benchmarking/ibmq/4gt13-v1_93.qasm,100,41,76,50,45,40,0.047956
4gt4-v0_73.qasm,benchmarking/ibmq/4gt4-v0_73.qasm,427,229,481,350,311,290,0.372530
one-two-three-v0_97.qasm,benchmarking/ibmq/one-two-three-v0_97.qasm,322,165,364,267,236,223,0.311342
rd73_252.qasm,benchmarking/ibmq/rd73_252.qasm,5353,2869,6848,4774,4526,3911,8.064051
rd84_142.qasm,benchmarking/ibmq/rd84_142.qasm,375,112,415,189,265,153,0.342396
sym9_193.qasm,benchmarking/ibmq/sym9_193.qasm,34913,19237,44308,30639,29074,24967,47.888479
4mod7-v1_96.qasm,benchmarking/ibmq/4mod7-v1_96.qasm,196,96,203,148,130,121,0.152659
ising_model_16.qasm,benchmarking/ibmq/ising_model_16.qasm,818,73,385,71,186,50,1.091465
urf4_187.qasm,benchmarking/ibmq/urf4_187.qasm,512096,264332,694848,482550,470811,393895,907.064737
4mod5-v1_24.qasm,benchmarking/ibmq/4mod5-v1_24.qasm,68,23,55,44,40,38,0.033913
f2_232.qasm,benchmarking/ibmq/f2_232.qasm,1238,670,1519,1050,991,851,1.430268
mod5d1_63.qasm,benchmarking/ibmq/mod5d1_63.qasm,54,15,22,13,14,11,0.015548
sym9_146.qasm,benchmarking/ibmq/sym9_146.qasm,360,129,378,240,236,193,0.274997
dist_223.qasm,benchmarking/ibmq/dist_223.qasm,38078,19696,45442,30136,28819,24180,52.878917
alu-v4_36.qasm,benchmarking/ibmq/alu-v4_36.qasm,147,68,136,98,88,82,0.124793
sym10_262.qasm,benchmarking/ibmq/sym10_262.qasm,64315,35574,82623,56438,54537,46041,94.818446
plus63mod4096_163.qasm,benchmarking/ibmq/plus63mod4096_163.qasm,128776,72248,171007,121585,114688,98769,224.154579
alu-bdd_288.qasm,benchmarking/ibmq/alu-bdd_288.qasm,116,50,112,82,74,69,0.091932
ground_state_estimation_10.qasm,benchmarking/ibmq/ground_state_estimation_10.qasm,390212,245616,13903,9122,10650,7698,210.366449
4gt11_82.qasm,benchmarking/ibmq/4gt11_82.qasm,59,22,41,36,33,33,0.021732
4gt5_75.qasm,benchmarking/ibmq/4gt5_75.qasm,115,49,102,74,65,62,0.069838
graycode6_47.qasm,benchmarking/ibmq/graycode6_47.qasm,37,7,8,6,8,6,0.005476
alu-v2_33.qasm,benchmarking/ibmq/alu-v2_33.qasm,69,24,49,39,32,30,0.035923
alu-v2_32.qasm,benchmarking/ibmq/alu-v2_32.qasm,195,94,206,147,132,121,0.151530
4gt11_83.qasm,benchmarking/ibmq/4gt11_83.qasm,55,18,34,29,26,26,0.016768
hwb8_113.qasm,benchmarking/ibmq/hwb8_113.qasm,69412,38719,83096,57785,52743,45986,93.055286
qft_16.qasm,benchmarking/ibmq/qft_16.qasm,544,107,246,105,181,85,0.747119
plus63mod8192_164.qasm,benchmarking/ibmq/plus63mod8192_164.qasm,187144,105144,229644,158552,147790,127013,316.809042
decod24-v2_43.qasm,benchmarking/ibmq/decod24-v2_43.qasm,84,32,74,61,49,49,0.043738
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211,607,384,392,306,0.653683
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881,41674,27634,26902,22535,47.890871
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661,3809,2623,2493,2098,4.501465
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40,75,48,45,37,0.061500
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63,241,165,164,134,0.188394
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24,40,25,24,20,0.032646
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957,78139,55638,55747,46305,92.012041
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357,714,486,437,386,0.615797
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94,261,154,161,124,0.187695
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34,65,54,43,43,0.069832
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647,216036,146398,140844,119306,258.725274
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516,1168,786,734,633,1.117314
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572,22531,14026,14689,11461,25.984283
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189,4572,3190,2869,2559,3.933142
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329,781,576,529,464,0.795197
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139,338,240,224,199,0.278737
